LAC,CI,LAT,LNG,NET_TYPE
34343,203042,25.444039,99.832686,ps
34664,161395,23.894383,99.687194,ps
34664,161395,23.894383,99.687194,ps
63269,137553,39.995008,116.279297,ps
63269,137553,24.4003939641,102.530391813,ps
63258,364610,25.0947787013,102.928480646,ps
34401,82803,25.042347,102.861912,ps
34401,82803,25.042347,102.861912,ps
63265,65649,25.005628,102.762162,ps
34949,26455,25.246579,102.999444,ps
35022,30290,25.036905,102.69737,ps
63268,145762,25.020664,102.689179,ps
63268,145762,25.020664,102.689179,ps
63268,145762,25.020664,102.689179,ps
34403,353170,25.038416,102.675557,ps
63256,200977,25.064388,102.667538,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
63487,144018,25.05146408,102.78414154,ps
34970,295554,25.100993,103.098931,ps
63274,144741,39.995008,116.279297,ps
34949,26455,25.246579,102.999444,ps
34949,26455,25.246579,102.999444,ps
34949,26455,25.246579,102.999444,ps
34949,26455,25.246579,102.999444,ps
63248,341831,24.862171882,102.848080731,ps
63248,341831,39.995008,116.279297,ps
34401,104801,25.0961759943,102.926986253,ps
34401,104801,25.0961759943,102.926986253,ps
34401,104801,39.995008,116.279297,ps
34401,104801,25.0957012828,102.926941729,ps
63485,803,24.918797,103.145815,ps
63485,803,24.918797,103.145815,ps
